Cores,Solver,Degree,Refinement,SetupSystemCPU,SetupSystemWall,NumberOfElements,DoFs,DoFsPerCell,QPointsPerCell,RhsCpu,RhsWall,SolvingLinearSystemCPU,SolvingLinearSystemWall,Iterations,TimePerIter(s),Throughput(MDoFs/s)
1,MatrixFree,1,3,0.00934,0.00952601,512,729,8,8,0.000804,0.000807965,0.012084,0.0128573,15,0.000857152,0.850491 MDoFs/s
1,MatrixFree,2,3,0.009224,0.0102573,512,4913,27,27,0.003261,0.00328094,0.047207,0.0476099,19,0.00250579,1.96066 MDoFs/s
1,MatrixFree,3,3,0.01331,0.014369,512,15625,64,64,0.011167,0.011173,0.17513,0.176873,22,0.00803969,1.94348 MDoFs/s
1,MatrixFree,4,3,0.015733,0.0193797,512,35937,125,125,0.039603,0.0406772,0.571485,0.575297,25,0.0230119,1.56167 MDoFs/s
1,MatrixFree,5,3,0.02513,0.0267458,512,68921,216,216,0.11988,0.120898,1.76296,1.76589,29,0.0608929,1.13184 MDoFs/s
1,MatrixFree,6,3,0.026134,0.0380047,512,117649,343,343,0.330902,0.333426,5.27906,5.28854,53,0.0997837,1.17904 MDoFs/s
1,MatrixBased,1,3,0.011163,0.0131895,512,729,8,8,0.004275,0.00428064,0.015138,0.0151354,2,0.00756769,0.0963306 MDoFs/s
1,MatrixBased,2,3,0.037003,0.0433931,512,4913,27,27,0.068371,0.0684554,0.105401,0.105398,33,0.00319388,1.53826 MDoFs/s
1,MatrixBased,3,3,0.133877,0.145875,512,15625,64,64,0.739484,0.739965,1.09717,0.990105,64,0.0154704,1.00999 MDoFs/s
1,MatrixBased,4,3,0.422827,0.45482,512,35937,125,125,5.44991,5.45229,4.76256,4.2634,82,0.0519927,0.691193 MDoFs/s
1,MatrixBased,5,3,1.08244,1.1822,512,68921,216,216,30.3928,30.4008,16.5375,14.9125,104,0.143389,0.480657 MDoFs/s
