Cores,Solver,Degree,Refinement,SetupSystemCPU,SetupSystemWall,NumberOfElements,DoFs,DoFsPerCell,QPointsPerCell,RhsCpu,RhsWall,SolvingLinearSystemCPU,SolvingLinearSystemWall,Iterations,TimePerIter(s),Throughput(MDoFs/s)
8,MatrixFree,1,3,0.01605,0.0160881,512,729,8,8,0.00051,0.000516265,0.007457,0.00745488,15,0.000496992,1.46683 MDoFs/s
8,MatrixFree,2,3,0.014217,0.0158391,512,4913,27,27,0.000925,0.00140087,0.01916,0.0201975,19,0.00106302,4.62172 MDoFs/s
8,MatrixFree,3,3,0.017109,0.0180218,512,15625,64,64,0.001942,0.00257546,0.030287,0.0305966,22,0.00139076,11.2349 MDoFs/s
8,MatrixFree,4,3,0.019563,0.0223928,512,35937,125,125,0.012248,0.0135975,0.127701,0.127699,25,0.00510795,7.03551 MDoFs/s
8,MatrixFree,5,3,0.017146,0.022335,512,68921,216,216,0.031182,0.0350277,0.231897,0.231912,29,0.00799695,8.61841 MDoFs/s
8,MatrixFree,6,3,0.01862,0.0221513,512,117649,343,343,0.057821,0.0608442,0.612112,0.612108,53,0.0115492,10.1868 MDoFs/s
12,MatrixFree,1,3,0.01743,0.0182559,512,729,8,8,0.000653,0.000657933,0.009607,0.0106239,15,0.000708262,1.02928 MDoFs/s
12,MatrixFree,2,3,0.015974,0.017172,512,4913,27,27,0.001014,0.00110877,0.014841,0.0153734,19,0.000809125,6.07199 MDoFs/s
12,MatrixFree,3,3,0.015851,0.0176073,512,15625,64,64,0.002046,0.00234783,0.028495,0.0285165,22,0.0012962,12.0544 MDoFs/s
12,MatrixFree,4,3,0.018493,0.0213722,512,35937,125,125,0.007247,0.00725653,0.105991,0.106006,25,0.00424024,8.47523 MDoFs/s
12,MatrixFree,5,3,0.022869,0.0240007,512,68921,216,216,0.017819,0.0185377,0.163159,0.166012,29,0.00572456,12.0395 MDoFs/s
12,MatrixFree,6,3,0.023088,0.0313255,512,117649,343,343,0.072803,0.0808552,0.504292,0.504304,53,0.00951517,12.3644 MDoFs/s
16,MatrixFree,1,3,0.011812,0.0144242,512,729,8,8,0,0.000673838,0.010962,0.0115953,15,0.00077302,0.943055 MDoFs/s
16,MatrixFree,2,3,0.016295,0.0179828,512,4913,27,27,0.00106,0.00123409,0.019271,0.0195099,19,0.00102684,4.7846 MDoFs/s
16,MatrixFree,3,3,0.015201,0.0192794,512,15625,64,64,0.003261,0.00326878,0.034984,0.0349864,22,0.00159029,9.82525 MDoFs/s
16,MatrixFree,4,3,0.020989,0.0221523,512,35937,125,125,0.003956,0.00577879,0.075955,0.0783492,25,0.00313397,11.4669 MDoFs/s
16,MatrixFree,5,3,0.022978,0.0262834,512,68921,216,216,0.015027,0.0167895,0.120608,0.121396,29,0.00418607,16.4644 MDoFs/s
16,MatrixFree,6,3,0.020998,0.0232978,512,117649,343,343,0.038228,0.0441899,0.402712,0.405736,53,0.0076554,15.3681 MDoFs/s
20,MatrixFree,1,3,0.012048,0.0158247,512,729,8,8,0.000109,0.000674177,0.011446,0.0114746,15,0.000764974,0.952973 MDoFs/s
20,MatrixFree,2,3,0.020445,0.0209973,512,4913,27,27,0.001082,0.00140924,0.01757,0.0175672,19,0.000924591,5.3137 MDoFs/s
20,MatrixFree,3,3,0.017804,0.020886,512,15625,64,64,0.001987,0.00205115,0.029701,0.0309342,22,0.0014061,11.1123 MDoFs/s
20,MatrixFree,4,3,0.022078,0.0228485,512,35937,125,125,0.004975,0.00571824,0.066378,0.0673287,25,0.00269315,13.3439 MDoFs/s
20,MatrixFree,5,3,0.020861,0.0227898,512,68921,216,216,0.018884,0.0228502,0.152371,0.154309,29,0.005321,12.9527 MDoFs/s
20,MatrixFree,6,3,0.027488,0.030474,512,117649,343,343,0.049015,0.056996,0.363759,0.375008,53,0.00707563,16.6274 MDoFs/s
24,MatrixFree,1,3,0.018791,0.0198368,512,729,8,8,0,0.000811799,0.009895,0.0110769,15,0.000738461,0.987188 MDoFs/s
24,MatrixFree,2,3,0.018106,0.020598,512,4913,27,27,0.001491,0.00150787,0.020325,0.020323,19,0.00106963,4.59316 MDoFs/s
24,MatrixFree,3,3,0.01788,0.0201838,512,15625,64,64,0.003121,0.00368739,0.035251,0.036129,22,0.00164223,9.51451 MDoFs/s
24,MatrixFree,4,3,0.020056,0.0221216,512,35937,125,125,0.007909,0.00831334,0.067949,0.0679601,25,0.0027184,13.2199 MDoFs/s
24,MatrixFree,5,3,0.023148,0.0259404,512,68921,216,216,0.01693,0.018552,0.147132,0.148324,29,0.00511462,13.4753 MDoFs/s
24,MatrixFree,6,3,0.02459,0.0268837,512,117649,343,343,0.03354,0.0402779,0.289154,0.295154,53,0.00556895,21.1259 MDoFs/s
28,MatrixFree,1,3,0.014073,0.0196185,512,729,8,8,0,0.000734047,0.009954,0.0129863,15,0.000865755,0.842039 MDoFs/s
28,MatrixFree,2,3,0.016257,0.0188851,512,4913,27,27,0.000899,0.00126677,0.018188,0.0192052,19,0.0010108,4.8605 MDoFs/s
28,MatrixFree,3,3,0.016496,0.0217877,512,15625,64,64,0.002934,0.00311188,0.033135,0.034435,22,0.00156523,9.98257 MDoFs/s
28,MatrixFree,4,3,0.01789,0.0207144,512,35937,125,125,0.005043,0.00539607,0.043871,0.0440619,25,0.00176248,20.3901 MDoFs/s
28,MatrixFree,5,3,0.026886,0.0292396,512,68921,216,216,0.020821,0.0245883,0.162154,0.163855,29,0.00565018,12.198 MDoFs/s
28,MatrixFree,6,3,0.02936,0.031777,512,117649,343,343,0.051749,0.0553827,0.315297,0.315295,53,0.00594896,19.7764 MDoFs/s
32,MatrixFree,1,3,0.021498,0.0215659,512,729,8,8,0.000529,0.000814208,0.012924,0.0144893,15,0.000965954,0.754694 MDoFs/s
32,MatrixFree,2,3,0.019331,0.0204095,512,4913,27,27,0.001038,0.00115969,0.016201,0.0178313,19,0.000938488,5.23502 MDoFs/s
32,MatrixFree,3,3,0.019331,0.0220748,512,15625,64,64,0.002955,0.00296347,0.037019,0.037031,22,0.00168323,9.28275 MDoFs/s
32,MatrixFree,4,3,0.017881,0.0219891,512,35937,125,125,0.0068,0.00805378,0.063743,0.0646291,25,0.00258516,13.9013 MDoFs/s
32,MatrixFree,5,3,0.023459,0.0274281,512,68921,216,216,0.014717,0.01988,0.134714,0.138416,29,0.00477296,14.4399 MDoFs/s
32,MatrixFree,6,3,0.017865,0.024263,512,117649,343,343,0.047567,0.0550866,0.254863,0.257911,53,0.00486625,24.1765 MDoFs/s
36,MatrixFree,1,3,0.021954,0.0226411,512,729,8,8,0.001,0.00104829,0.013925,0.0140765,15,0.000938436,0.776824 MDoFs/s
36,MatrixFree,2,3,0.016975,0.0217072,512,4913,27,27,0.001063,0.0013384,0.019883,0.0201721,19,0.00106169,4.62753 MDoFs/s
36,MatrixFree,3,3,0.024042,0.0242234,512,15625,64,64,0.002886,0.00323896,0.035096,0.0354191,22,0.00160996,9.70522 MDoFs/s
36,MatrixFree,4,3,0.022584,0.0232445,512,35937,125,125,0.00511,0.00698859,0.068483,0.0684904,25,0.00273962,13.1175 MDoFs/s
36,MatrixFree,5,3,0.026376,0.0295557,512,68921,216,216,0.012124,0.0139328,0.138753,0.138765,29,0.00478499,14.4036 MDoFs/s
36,MatrixFree,6,3,0.029652,0.0344755,512,117649,343,343,0.046293,0.054467,0.269841,0.273486,53,0.00516011,22.7997 MDoFs/s
46,MatrixFree,1,3,0.02535,0.0259925,512,729,8,8,0.001052,0.00122451,0.014191,0.0159427,15,0.00106284,0.685895 MDoFs/s
